,sentence,topic,sentiment,tokens,dataset
6596,"môn học không mang tính ứng dụng và thực tế , kiến thức quá chung chung .",1,0,"['môn_học', 'ứng_dụng', 'kiến_thức']",train
6597,"đúng giờ , cách giảng dạy hay , truyền cảm hứng cho các sinh viên học tập .",0,2,"['giảng_dạy', 'truyền_cảm_hứng', 'sinh_viên', 'học_tập']",train
6598,"nhiệt tình , nhanh nhẹn , thân thiện .",0,2,"['nhiệt_tình', 'nhanh_nhẹn', 'thân_thiện']",train
6599,"gây bối rối , hoang mang cho sinh viên trong những quyết định về bài tập , đồ án , không rõ ràng , không quyết định chính xác .",0,0,"['bối_rối', 'hoang_mang', 'sinh_viên', 'quyết_định', 'bài_tập', 'đồ_án', 'rõ_ràng', 'quyết_định', 'chính_xác']",train
6600,cần cài đặt matlab trên các máy ở phòng thực hành .,2,0,"['cài_đặt', 'matlab', 'máy', 'phòng', 'thực_hành']",train
6601,"thuyết trình còn hơi buồn ngủ , chưa hấp dẩn lắm .",1,0,"['thuyết_trình', 'hơi', 'buồn_ngủ', 'hấp', 'dẩn', 'lắm']",train
6602,"giáo viên truyền đạt kém , khó hiểu .",0,0,"['giáo_viên', 'truyền_đạt', 'kém']",train
6603,không chủ động giải đáp các bài tập đã giao cho sinh viên .,0,0,"['chủ_động', 'giải_đáp', 'bài_tập', 'giao', 'sinh_viên']",train
6604,"dạy kỹ , ôn thi cũng kỹ không bỏ sót phần nào .",0,2,"['dạy', 'kỹ', 'ôn', 'thi', 'kỹ', 'sót']",train
6605,"thầy giảng rất chi tiết , rất nhiệt tình .",0,2,"['thầy', 'giảng', 'chi_tiết', 'nhiệt_tình']",train
6606,"giảng viên vui vẻ nhiệt tình , truyền đạt tốt .",0,2,"['giảng_viên', 'vui_vẻ', 'nhiệt_tình', 'truyền_đạt']",train
6607,ôm đồm quá nhiều kỳ vọng .,3,0,"['ôm_đồm', 'kỳ_vọng']",train
6608,có những kiến thức dùng trong thực hành thì rất lâu sau lý thuyết mới được học .,1,0,"['kiến_thức', 'thực_hành', 'lý_thuyết', 'học']",train
6609,thầy dạy nhiệt huyết .,0,2,"['thầy', 'dạy', 'nhiệt_huyết']",train
6610,không ý kiến .,3,1,['ý_kiến'],train
6611,"thầy chủ yếu đọc slide , ít lấy ví dụ cụ thể .",0,0,"['thầy', 'chủ_yếu', 'đọc', 'slide', 'ví_dụ']",train
6612,cô rất vui vẻ và hòa đồng .,0,2,"['vui_vẻ', 'hòa', 'đồng']",train
6613,"tận tâm , đi đúng giờ .",0,2,"['tận_tâm', 'đi']",train
6614,"giảng viên giảng hay , dễ tiếp thu .",0,2,"['giảng_viên', 'giảng', 'tiếp_thu']",train
6615,học được nhiều điều qua cách giảng dạy nhiệt tình của thầy .,0,2,"['học', 'giảng_dạy', 'nhiệt_tình', 'thầy']",train
6616,chưa gặp lần nào .,3,1,[],train
6617,học thầy được điểm cao .,3,2,"['học', 'thầy', 'điểm_cao']",train
6618,giảng viên thiếu các bài tập cụ thể để học sinh ứng dụng để nhớ .,0,0,"['giảng_viên', 'bài_tập', 'học_sinh', 'ứng_dụng']",train
6619,"không cập nhật tin tức trên moodle , không mở diễn đàn trao đổi .",1,0,"['cập_nhật', 'tin_tức', 'moodle', 'diễn_đàn', 'trao_đổi']",train
6620,"lịch học không rõ ràng , khó nắm bắt lịch .",0,0,"['lịch', 'học', 'rõ_ràng', 'nắm_bắt', 'lịch']",train
6621,thầy lo giảng quên cả giờ giấc .,0,2,"['thầy', 'lo', 'giảng', 'quên', 'giờ_giấc']",train
6622,em xin cảm ơn thầy .,0,1,['thầy'],train
6623,môn này hay .,1,2,['môn'],train
6624,"thứ nhất thầy không đảm bảo được giờ lên lớp , rất khó khăn để báo cáo đồ án và hỏi ý kiến thầy .",0,0,"['thầy', 'lên_lớp', 'báo_cáo', 'đồ_án', 'ý_kiến', 'thầy']",train
6625,có quan tâm đến sinh viên .,0,2,['sinh_viên'],train
6626,"thầy giảng bài hay , dễ hiểu .",0,2,"['thầy', 'giảng']",train
6627,"giảng viên giảng bài còn nhỏ , sinh viên nghe không rõ .",0,0,"['giảng_viên', 'giảng', 'sinh_viên']",train
6628,chú tâm đến sinh viên .,0,2,"['chú_tâm', 'sinh_viên']",train
6629,giáo viên giảng dạy lôi cuốn .,0,2,"['giáo_viên', 'giảng_dạy', 'lôi_cuốn']",train
6630,"giảng hay , diễn đạt tốt , giúp sinh viên dễ dàng tiếp thu kiến thức mới .",0,2,"['giảng', 'diễn_đạt', 'giúp', 'sinh_viên', 'dễ_dàng', 'tiếp_thu', 'kiến_thức']",train
6631,"tạo ra được những trò chơi và cách tiếp cận môn học mới mẻ , hiệu quả , giảng viên nhiệt tình , tận tâm với người học .",0,2,"['trò_chơi', 'tiếp_cận', 'môn_học', 'mới_mẻ', 'hiệu_quả', 'giảng_viên', 'nhiệt_tình', 'tận_tâm', 'học']",train
6632,được trải nghiệm thực tế sẽ giúp cho môn học thêm phần thú vị và sự thú vị đó sẽ tạp động lực cho sinh viên tự tìm hiểu sau này .,1,0,"['trải', 'nghiệm', 'giúp', 'môn_học', 'thú_vị', 'thú_vị', 'tạp', 'động_lực', 'sinh_viên']",train
6633,bài giảng hơi khó hiểu .,1,0,"['giảng', 'hơi']",train
6634,tôi đã thấy giảng viên chỉ nhìn qua chưa đầy 30 giây và cho điểm 9 ngay lập tức .,0,0,"['giảng_viên', '30', 'giây', '9', 'lập_tức']",train
6635,"giáo viên luôn tạo điều kiện cho sinh viên luyện nói tiếng anh tại lớp , giải thích về bài học , ngữ pháp , từ mới vào đầu giờ .",0,2,"['giáo_viên', 'sinh_viên', 'luyện', 'tiếng', 'lớp', 'giải_thích', 'bài_học', 'ngữ_pháp', 'đầu']",train
6636,dạy hiệu quả .,0,2,"['dạy', 'hiệu_quả']",train
6637,em xin lỗi nhưng đó là sự thật .,3,0,"['xin_lỗi', 'sự_thật']",train
6638,thầy dạy hay và tận tình .,0,2,"['thầy', 'dạy', 'tận_tình']",train
6639,kết quả đạt được trong buổi thực hành hỗ trợ rất nhiều cho lý thuyết được học .,1,2,"['kết_quả', 'thực_hành', 'lý_thuyết', 'học']",train
6640,"thầy cực kỳ tận tâm nhiệt tình , giảng bài rất dễ nhớ .",0,2,"['thầy', 'cực_kỳ', 'tận_tâm', 'nhiệt_tình', 'giảng']",train
6641,không nên dạy theo phương pháp như ở bậc phổ thông mà nên chú trọng vào rèn luyện đầy đủ các kỹ năng chính của môn học .,0,0,"['dạy', 'phương_pháp', 'bậc', 'phổ_thông', 'chú_trọng', 'rèn_luyện', 'đầy_đủ', 'kỹ_năng', 'môn_học']",train
6642,thầy dậy rất nhiệt tình .,0,2,"['thầy', 'dậy', 'nhiệt_tình']",train
6643,thầy cho thời gian deadline lâu sinh viên rất thích .,0,2,"['thầy', 'deadline', 'sinh_viên']",train
6644,giảng dạy kết hợp bài tập rất hay và rất dễ nhớ bài vừa mới được dạy !,0,2,"['giảng_dạy', 'kết_hợp', 'bài_tập', 'dạy']",train
6645,"khi kiểm tra trên lớp không thông báo trước , sinh viên chưa chuẩn bị bài kỹ .",1,0,"['kiểm_tra', 'lớp', 'thông_báo', 'sinh_viên', 'kỹ']",train
6646,thầy thường xuyên trả lời trễ không trả lời mail của sinh viên .,0,0,"['thầy', 'thường_xuyên', 'trả_lời', 'trễ', 'trả_lời', 'mail', 'sinh_viên']",train
6647,bản thân em chưa học qua môn tấn công mạng nên những kiến thức ở môn bảo mật internet còn khá mới với em .,1,0,"['học', 'môn', 'tấn_công', 'mạng', 'kiến_thức', 'môn', 'bảo_mật', 'internet']",train
6648,"tận tình , tâm huyết với sinh viên .",0,2,"['tận_tình', 'tâm_huyết', 'sinh_viên']",train
6649,"nhiệt tình , vui tính , thân thiện .",0,2,"['nhiệt_tình', 'vui_tính', 'thân_thiện']",train
6650,"thầy dễ tính , có đi học đều sẻ qua môn , hoạt động làm bài thu hoạch tạo điều kiện cho sinh viên lấy điểm .",0,2,"['thầy', 'dễ_tính', 'đi', 'học', 'sẻ', 'môn', 'hoạt_động', 'thu_hoạch', 'sinh_viên']",train
6651,"giáo viên nghỉ không thông báo nhiều lần , ảnh hưởng tới thời gian và công sức của sinh viên .",0,0,"['giáo_viên', 'nghỉ', 'thông_báo', 'ảnh_hưởng', 'công_sức', 'sinh_viên']",train
6652,giúp cho sinh viên tập trung vào thiết kế mạng phù hợp với mục đích môn học .,0,2,"['giúp', 'sinh_viên', 'thiết_kế', 'mạng', 'mục_đích', 'môn_học']",train
6653,khá dễ hiểu .,3,2,[],train
6654,"nội dung bài học đều sát với thực tế , lý thuyết dễ hiểu .",0,2,"['nội_dung', 'bài_học', 'sát', 'lý_thuyết']",train
6655,thật sự anh văn là một môn rất quan trọng trong lĩnh vực công việc và học tập .,1,1,"['văn', 'môn', 'lĩnh_vực', 'công_việc', 'học_tập']",train
6656,dạy đúng trọng tâm .,0,2,"['dạy', 'trọng_tâm']",train
6657,"giảng viên nhiệt tình , giảng thêm kiến thức bên ngoài , cũng như bài tập thêm cho sinh viên mở rộng .",0,2,"['giảng_viên', 'nhiệt_tình', 'giảng', 'kiến_thức', 'bài_tập', 'sinh_viên', 'mở_rộng']",train
6658,hiền .,0,2,['hiền'],train
6659,chưa chỉ sinh viên cách tìm thêm tài liệu để đọc thêm .,0,0,"['sinh_viên', 'tài_liệu', 'đọc']",train
6660,thời gian hướng dẫn thực hành với môn học quá ít .,1,0,"['hướng_dẫn', 'thực_hành', 'môn_học']",train
6661,học song song lý thuyết và thực hành để kiến thức được củng cố hơn .,1,0,"['học', 'song_song', 'lý_thuyết', 'thực_hành', 'kiến_thức', 'củng_cố']",train
6662,"giảng viên tận tâm , kiến thức tốt , khả năng truyền đạt tốt .",0,2,"['giảng_viên', 'tận_tâm', 'kiến_thức', 'khả_năng', 'truyền_đạt']",train
6663,đề nghị các giảng viên nên yêu cầu về chất lượng thực hành hơn .,0,0,"['đề_nghị', 'giảng_viên', 'chất_lượng', 'thực_hành']",train
6664,"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",0,2,"['giảng_dạy', 'nhiệt_tình', 'hướng_dẫn', 'chi_tiết', 'sinh_viên']",train
6665,giảng viên tận tâm và nhiệt tình .,0,2,"['giảng_viên', 'tận_tâm', 'nhiệt_tình']",train
6666,"giảng bài thu hút , dí dỏm .",0,2,"['giảng', 'thu_hút', 'dí_dỏm']",train
6667,"đa phần là tự học là chính , có thể là do chương trình đại học quốc gia .",1,0,"['đa_phần', 'học', 'chương_trình', 'đại_học', 'quốc_gia']",train
6668,"giảng dạy kiến thức còn mơ hồ , không nhất quán được kiến thức , kiến thức , bài tập làm còn mơ hồ , không giải thích được hết .",0,0,"['giảng_dạy', 'kiến_thức', 'mơ_hồ', 'nhất_quán', 'kiến_thức', 'kiến_thức', 'bài_tập', 'mơ_hồ', 'giải_thích']",train
6669,cô dạy hơi chán .,0,0,"['dạy', 'hơi', 'chán']",train
6670,thầy rất nhiệt tình giảng dạy và tạo môi trường hỗ trợ sinh viên học tập tốt nhất có thể .,0,2,"['thầy', 'nhiệt_tình', 'giảng_dạy', 'môi_trường', 'sinh_viên', 'học_tập']",train
6671,quan tâm tận tình đến từng sinh viên .,0,2,"['tận_tình', 'sinh_viên']",train
6672,"giảng thao thao bất tuyệt , nói những thuật ngữ khó hiểu nhưng không giải thích cặn kẽ .",0,0,"['giảng', 'thao_thao', 'bất_tuyệt', 'thuật_ngữ', 'giải_thích', 'cặn_kẽ']",train
6673,thầy cần hoạt động trao đổi nhiều hơn với sinh viên .,0,0,"['thầy', 'hoạt_động', 'trao_đổi', 'sinh_viên']",train
6674,thầy giảng phần cuối hơi khó tiếp thu .,0,0,"['thầy', 'giảng', 'hơi', 'tiếp_thu']",train
6675,"tuy nhiên , nếu được cô nên bổ sung các bài tập cá nhân về cả lý thuyết và thực hành , bên cạnh các bài tập nhóm thì sẽ giúp các bạn bổ trợ thêm kiến thức rất nhiều .",0,0,"['bổ_sung', 'bài_tập', 'lý_thuyết', 'thực_hành', 'cạnh', 'bài_tập', 'giúp', 'bổ_trợ', 'kiến_thức']",train
6676,"giảng dạy theo phương pháp mới , thú vị , dễ hiểu .",0,2,"['giảng_dạy', 'phương_pháp', 'thú_vị']",train
6677,"sửa chữa hoặc thay mới máy chiếu và loa nguyên nhân doubledot máy chiếu , chiếu hình ảnh bị nhạt màu , loa hay có trục trặc .",2,0,"['sửa_chữa', 'thay', 'máy_chiếu', 'loa', 'nguyên_nhân', 'doubledot', 'máy_chiếu', 'chiếu', 'hình_ảnh', 'nhạt', 'màu', 'loa', 'trục_trặc']",train
6678,"nên cho nhiều ví dụ và bài tập về nhà , cung cấp tài liệu thêm cho các sinh viên muốn tìm hiểu thêm .",1,0,"['ví_dụ', 'bài_tập', 'cung_cấp', 'tài_liệu', 'sinh_viên']",train
6679,"thầy dạy dễ hiểu , phong thái mỹ colonsmile .",0,2,"['thầy', 'dạy', 'phong_thái', 'mỹ', 'colonsmile']",train
6680,giáo viên giảng dạy tốt nhiệt tình .,0,2,"['giáo_viên', 'giảng_dạy', 'nhiệt_tình']",train
6681,thầy dạy kỹ nhiệt tình .,0,2,"['thầy', 'dạy', 'kỹ', 'nhiệt_tình']",train
6682,"giá tiền tín chỉ thực hành theo hình thức 2 cao hơn , số buổi học ít hơn .",1,0,"['giá', 'tiền', 'tín_chỉ_thực_hành', 'hình_thức', '2', 'học']",train
6683,"phân chia nhóm hợp lý , theo sát quá trình thực hành của sinh viên .",0,2,"['phân_chia', 'hợp_lý', 'sát', 'thực_hành', 'sinh_viên']",train
6684,nộp deadline bất chợt .,0,0,"['nộp', 'deadline']",train
6685,"giảng viên vui vẻ , thoải mái trong giờ học , không gây áp lực .",0,2,"['giảng_viên', 'vui_vẻ', 'thoải_mái', 'học', 'áp_lực']",train
6686,"thầy khá nhiệt huyết , vui vẻ , hệ thống kiến thức cho chúng em rõ ràng .",0,2,"['thầy', 'nhiệt_huyết', 'vui_vẻ', 'hệ_thống', 'kiến_thức', 'rõ_ràng']",train
6687,phương pháp giảng của thầy giúp chúng em nắm được kiến thức nhanh hơn và sâu hơn !,0,2,"['phương_pháp', 'giảng', 'thầy', 'giúp', 'nắm', 'kiến_thức', 'sâu']",train
6688,thầy rất khắt khe trong việc dùng từ chuyên ngành .,0,2,"['thầy', 'khắt_khe', 'chuyên_ngành']",train
6689,thực hành vui .,1,2,"['thực_hành', 'vui']",train
6690,cách dạy của thầy .,0,1,"['dạy', 'thầy']",train
6691,"nội dung không sâu , sơ sài .",1,0,"['nội_dung', 'sâu', 'sơ_sài']",train
6692,"thầy dạy rất nhiệt tình , thầy kiêm luôn giáo viên thực hành .",0,2,"['thầy', 'dạy', 'nhiệt_tình', 'thầy', 'kiêm', 'giáo_viên', 'thực_hành']",train
6693,"giảng viên đảm bảo giờ lên lớp , dạy kỹ càng và rất dễ hiểu .",0,2,"['giảng_viên', 'lên_lớp', 'dạy', 'kỹ_càng']",train
6694,thầy có chia sẻ nhiều kinh nghiệm thực tế .,0,2,"['thầy', 'kinh_nghiệm']",train
6695,"em nghĩ trường nên ưu tiên cho hệ chất lượng cao tụi em được học giờ giấc thoải mái hơn nếu vì lý do buổi sáng hết phòng thì cũng nên ưu tiên phòng cho tụi em theo như trường đã cam kết , theo em buổi chiều chỉ nên học 3 tiết , những môn nào học 4 tiết như anh văn hay 2 tiết như kỹ năng nghề nghiệp thì nên chuyển lên học buổi sáng .",1,0,"['trường', 'ưu_tiên', 'hệ', 'chất_lượng', 'tụi', 'học', 'giờ_giấc', 'thoải_mái', 'phòng', 'ưu_tiên', 'phòng', 'tụi', 'trường', 'cam_kết', 'chiều', 'học', '3', 'tiết', 'môn', 'học', '4', 'tiết', 'văn', '2', 'tiết', 'kỹ_năng', 'nghề_nghiệp', 'học']",train
6696,giáo trình có vẻ cứng nhắc khó tiếp thu gây chán nản .,1,0,"['giáo_trình', 'vẻ', 'cứng_nhắc', 'tiếp_thu', 'chán_nản']",train
6697,khó nghe .,3,0,[],train
6698,"trang thiết bị của phòng thực hành quá cũ kỹ , bụi bặm , không được bảo trì , cập nhật , nâng cấp .",2,0,"['trang', 'thiết_bị', 'phòng', 'thực_hành', 'cũ_kỹ', 'bụi_bặm', 'bảo_trì', 'cập_nhật', 'nâng_cấp']",train
6699,thầy nhiệt tình chỉ bài .,0,2,"['thầy', 'nhiệt_tình']",train
6700,"vui vẻ , nhiệt tình , tạo cơ hội cho sinh viên được gắn kết cũng như trau dồi kỹ năng nói tiếng anh nhiều hơn .",0,2,"['vui_vẻ', 'nhiệt_tình', 'sinh_viên', 'gắn_kết', 'trau_dồi', 'kỹ_năng', 'tiếng']",train
6701,cần phải có các thiết bị phục vụ cho môn học tốt hơn .,2,0,"['thiết_bị', 'phục_vụ', 'môn_học']",train
6702,"giáo trình giảng dạy còn cứng nhắc , không linh hoạt với đời sống thực tế , xã hội .",0,0,"['giáo_trình', 'giảng_dạy', 'cứng_nhắc', 'linh_hoạt', 'đời_sống', 'xã_hội']",train
6703,chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,0,0,"['áp_dụng', 'công_nghệ', 'thông_tin', 'thiết_bị', 'giảng_dạy']",train
6704,"thầy dạy nhiệt tình , rất dễ hiểu .",0,2,"['thầy', 'dạy', 'nhiệt_tình']",train
6705,giảng viên vui tính thân thiện .,0,2,"['giảng_viên', 'vui_tính', 'thân_thiện']",train
6706,phòng học thực hành wzjwz18 không đảm bảo chất lượng cho việc học thực hành .,2,0,"['phòng', 'học', 'thực_hành', 'wzjwz18', 'chất_lượng', 'học', 'thực_hành']",train
6707,lượng kiến thức này không chắc chắn là sau khi ra trường có thể vận dụng thực tiễn .,1,0,"['kiến_thức', 'trường', 'vận_dụng', 'thực_tiễn']",train
6708,thân ái !,3,1,['thân_ái'],train
6709,giảng viên nhiệt tình !,0,2,"['giảng_viên', 'nhiệt_tình']",train
6710,cô đẹp quá làm em không chú tâm học được colonsmilesmile .,0,0,"['đẹp', 'chú_tâm', 'học', 'colonsmilesmile']",train
6711,cô dạy vui vẻ dễ hiểu .,0,2,"['dạy', 'vui_vẻ']",train
6712,thầy rất tốt rất nhiệt tình .,0,2,"['thầy', 'nhiệt_tình']",train
6713,"đúng giờ , nhiều tài liệu tham khảo .",0,2,"['tài_liệu', 'tham_khảo']",train
6714,cách dạy vẫn như kiểu cũ không có tính hiệu quả cao .,0,0,"['dạy', 'kiểu', 'cũ', 'hiệu_quả']",train
6715,lâu lâu cô hay bận đột xuất .,0,0,"['bận', 'đột_xuất']",train
6716,"giáo viên hướng dẫn cho code sai , hướng dẫn viết code ít , không đáp ứng được câu hỏi của học sinh .",0,0,"['giáo_viên', 'hướng_dẫn', 'code', 'sai', 'hướng_dẫn', 'viết', 'code', 'đáp_ứng', 'câu', 'học_sinh']",train
6717,"đúng giờ , dạy dễ hiểu .",0,2,['dạy'],train
6718,"thường xuyên vắng mặt , làm sinh viên lên trường rồi phải về !",0,0,"['thường_xuyên', 'vắng_mặt', 'sinh_viên', 'trường']",train
6719,giải bài tập về nhà .,0,1,"['giải', 'bài_tập']",train
6720,"dạy nhiệt tình , dễ hiểu , luôn vui vẻ trong các buổi học , học không căng thẳng .",0,2,"['dạy', 'nhiệt_tình', 'vui_vẻ', 'học', 'học', 'căng_thẳng']",train
6721,thầy giảng dạy nhiệt tình .,0,2,"['thầy', 'giảng_dạy', 'nhiệt_tình']",train
6722,"giảng viên nhiệt tình , dễ thương , giảng bài dễ hiểu .",0,2,"['giảng_viên', 'nhiệt_tình', 'dễ_thương', 'giảng']",train
6723,"vui , nhiệt tình với sinh viên , tận tâm giúp đỡ sinh viên .",0,2,"['vui', 'nhiệt_tình', 'sinh_viên', 'tận_tâm', 'giúp_đỡ', 'sinh_viên']",train
6724,cô giảng bài rất nhiệt tình !,0,2,"['giảng', 'nhiệt_tình']",train
6725,thầy thường xuyên bỏ lớp .,0,0,"['thầy', 'thường_xuyên', 'lớp']",train
6726,"giảng viên vui tính , nhiệt tình và thân thiện , dạy rất dễ hiểu .",0,2,"['giảng_viên', 'vui_tính', 'nhiệt_tình', 'thân_thiện', 'dạy']",train
6727,"giảng viên truyền đạt kiến thức tốt , có nhiều kinh nghiệm , có thể giải đáp được thắc mắc của sinh viên .",0,2,"['giảng_viên', 'truyền_đạt', 'kiến_thức', 'kinh_nghiệm', 'giải_đáp', 'thắc_mắc', 'sinh_viên']",train
6728,đề thi môn dài sinh viên làm không đủ thời gian .,3,0,"['đề', 'thi', 'môn', 'sinh_viên']",train
6729,"nghỉ rất nhiều , đa phần những buổi nghỉ là do sinh viên chờ 30 phút không thấy thầy lên mà giải tán .",0,0,"['nghỉ', 'đa_phần', 'nghỉ', 'sinh_viên', 'chờ', '30', 'phút', 'thầy', 'giải_tán']",train
6730,"giảng viên gần gũi , giúp đỡ sinh viên rất nhiều trong học tập trên lớp .",0,2,"['giảng_viên', 'gần_gũi', 'giúp_đỡ', 'sinh_viên', 'học_tập', 'lớp']",train
6731,vì giao tiếp thông thường trong lớp học là chưa đủ .,1,0,"['giao_tiếp', 'thông_thường', 'lớp_học']",train
6732,ảnh hưởng đến việc thực hành .,3,0,"['ảnh_hưởng', 'thực_hành']",train
6733,nội dung hay .,0,2,['nội_dung'],train
6734,nhiều tài liệu hữu ích .,1,2,"['tài_liệu', 'hữu_ích']",train
6735,cô dạy môn wzjwz121 học kỳ này không phải cô wzjwz122 dạy hay .,0,0,"['dạy', 'môn', 'wzjwz121', 'học_kỳ', 'wzjwz122', 'dạy']",train
6736,"mong thầy giảng bài cỡ 15 - 30 phút rồi nghỉ 5 phút để trò chuyện với sinh viên về cuộc sống , kinh nghiệm học tập thời sinh viên của thầy , vdotv .",0,0,"['mong', 'thầy', 'giảng', 'cỡ', '15', '30', 'phút', 'nghỉ', '5', 'phút', 'trò_chuyện', 'sinh_viên', 'cuộc_sống', 'kinh_nghiệm', 'học_tập', 'thời', 'sinh_viên', 'thầy', 'vdotv']",train
6737,thầy đi trễ dạy muộn giờ .,0,0,"['thầy', 'đi', 'trễ', 'dạy', 'muộn']",train
6738,"vui vẻ , hỏi thầy thầy rep lại rất nhanh .",0,2,"['vui_vẻ', 'thầy', 'thầy', 'rep']",train
6739,"thời gian tập luyện quá ít , kỹ thuật khá khó với những bạn lần đậu tiếp cận .",1,0,"['tập_luyện', 'kỹ_thuật', 'đậu', 'tiếp_cận']",train
6740,"cô chỉ cho bài tập về nhà kêu làm và nộp , không giải thích gì thêm .",0,0,"['bài_tập', 'kêu', 'nộp', 'giải_thích']",train
6741,"cung cấp nhiều kiến thức mới , hay .",0,2,"['cung_cấp', 'kiến_thức']",train
6742,việc phân chia nhóm không hợp lý dẫn tới chất lượng học tập không tốt .,1,0,"['phân_chia', 'hợp_lý', 'chất_lượng', 'học_tập']",train
6743,giáo viên tuyệt vời .,0,2,"['giáo_viên', 'tuyệt_vời']",train
6744,"những đề bài tập của thầy rất hay , rất ấn tượng !",1,2,"['đề_bài_tập', 'thầy', 'ấn_tượng']",train
6745,mong cô giúp đỡ để cải thiện vốn tự vựng tiếng anh .,0,0,"['mong', 'giúp_đỡ', 'cải_thiện', 'vốn', 'vựng', 'tiếng']",train
6746,"rất tận tâm và nhiệt tình trong công việc giảng dạy , em rất ấn tượng với cô .",0,2,"['tận_tâm', 'nhiệt_tình', 'công_việc', 'giảng_dạy', 'ấn_tượng']",train
6747,quá chú trọng vào phần listening .,0,0,"['chú_trọng', 'listening']",train
6748,"giúp giảng viên chủ động truyền đạt các kiến thức đã học một cách cụ thể cho sinh viên bởi thực tế hiện nay sinh viên thường làm các đồ án trong đó không thể hiện được rõ các kiến thức đã học trên lớp , nó thiên về sử dụng kỹ thuật nhiều hơn .",1,0,"['giúp', 'giảng_viên', 'chủ_động', 'truyền_đạt', 'kiến_thức', 'học', 'sinh_viên', 'sinh_viên', 'đồ_án', 'không_thể_hiện', 'kiến_thức', 'học', 'lớp', 'thiên', 'kỹ_thuật']",train
6749,tài liệu của giảng viên đưa ra còn thiếu sót và nội dung tài liệu có nhiều sai sót .,1,0,"['tài_liệu', 'giảng_viên', 'thiếu_sót', 'nội_dung', 'tài_liệu', 'sai_sót']",train
6750,thầy sử dụng tiếng anh để sinh viên làm quen tên các thiết bị .,0,2,"['thầy', 'tiếng', 'sinh_viên', 'làm_quen', 'thiết_bị']",train
6751,giảng viên giảng dạy khó tiếp thu .,0,0,"['giảng_viên', 'giảng_dạy', 'tiếp_thu']",train
6752,"dễ hiểu , nhiệt tình vui tính .",0,2,"['nhiệt_tình', 'vui_tính']",train
6753,cho nhiều bài tập và hướng dẫn giải rõ ràng .,0,2,"['bài_tập', 'hướng_dẫn_giải', 'rõ_ràng']",train
6754,thầy quan tâm sinh viên .,0,2,"['thầy', 'sinh_viên']",train
6755,"thầy dạy nhiệt tình , mong được học thầy những kỳ sau colonsmilesmile .",0,2,"['thầy', 'dạy', 'nhiệt_tình', 'mong', 'học', 'thầy', 'kỳ', 'colonsmilesmile']",train
6756,do chương trình mới dạy bằng tiếng anh nên gây khó khăn cho chúng em trong việc tiếp thu kiến thức .,1,0,"['chương_trình', 'dạy', 'tiếng', 'tiếp_thu', 'kiến_thức']",train
6757,dạy khó hiểu và lên lớp muộn .,0,0,"['dạy', 'lên_lớp', 'muộn']",train
6758,"giáo viên tận tâm , giảng dạy tốt .",0,2,"['giáo_viên', 'tận_tâm', 'giảng_dạy']",train
6759,"thay vào đó , nếu cô thêm vào thật nhiều ví dụ , thì bài giảng của cô sẽ sinh động hơn nhiều , để chúng em hiểu sâu vấn đề hơn .",0,0,"['thay', 'ví_dụ', 'giảng', 'sinh_động', 'sâu']",train
6760,đủ tài liệu .,0,2,['tài_liệu'],train
6761,mail không trả lời .,0,0,"['mail', 'trả_lời']",train
6762,"giảng viên rất nhiệt tình giảng dạy , rất sẵn lòng giải đáp thắc mắc của sinh viên .",0,2,"['giảng_viên', 'nhiệt_tình', 'giảng_dạy', 'sẵn_lòng', 'giải_đáp', 'thắc_mắc', 'sinh_viên']",train
6763,cô cho bài tập về nhà hơi nhiều .,0,0,"['bài_tập', 'hơi']",train
6764,đôi khi quá luyên thuyên các vấn đề không liên quan đến môn học .,0,0,"['đôi_khi', 'luyên', 'thuyên', 'môn_học']",train
6765,"giảng viên cần chú ý thêm về vấn đề lịch thi speaking , thông báo cho sinh viên biết và chuẩn bị trước nội dung thi .",0,0,"['giảng_viên', 'chú_ý', 'lịch', 'thi', 'speaking', 'thông_báo', 'sinh_viên', 'nội_dung', 'thi']",train
6766,có thể kết hợp môn này với môn toán nhằm giúp sinh viên có thể mới vào trường dễ nhận thấy cách tính các độ phức tạp .,1,0,"['kết_hợp', 'môn', 'môn', 'toán', 'giúp', 'sinh_viên', 'trường', 'độ', 'phức_tạp']",train
6767,đôi lúc nói nhanh nghe không kịp .,0,0,"['đôi', 'kịp']",train
6768,cho ôn tập một đường ra đề một kiểu .,0,0,"['ôn_tập', 'đường', 'đề', 'kiểu']",train
6769,lần sau nên chuyển sang trắc nghiệm hỏi được nhiều cái hơn .,1,0,['trắc_nghiệm'],train
6770,"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",0,2,"['dạy', 'nhiệt_huyết', 'mỉm', 'cười', 'kiên_trì', 'giảng']",train
6771,"bài tập thực hành cần nêu yêu cầu rõ ràng , không mơ hồ , cần cập nhật , có hướng dẫn cụ thể .",1,0,"['bài_tập', 'thực_hành', 'nêu', 'rõ_ràng', 'mơ_hồ', 'cập_nhật', 'hướng_dẫn']",train
